position,ticker,company,sector,in_kospi200,source_as_of,source_url
1,005930,삼성전자,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
2,000660,SK하이닉스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
3,402340,SK스퀘어,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
4,009150,삼성전기,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
5,005380,현대차,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
6,373220,LG에너지솔루션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
7,207940,삼성바이오로직스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
8,032830,삼성생명,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
9,028260,삼성물산,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
10,105560,KB금융,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
11,012450,한화에어로스페이스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
12,000270,기아,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
13,055550,신한지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
14,329180,HD현대중공업,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
15,034020,두산에너빌리티,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
16,012330,현대모비스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
17,068270,셀트리온,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
18,034730,SK,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
19,006400,삼성SDI,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
20,086790,하나금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
21,035420,NAVER,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
22,066570,LG전자,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
23,000810,삼성화재,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
24,010120,LS ELECTRIC,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
25,267260,HD현대일렉트릭,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
26,010130,고려아연,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
27,042660,한화오션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
28,298040,효성중공업,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
29,009540,HD한국조선해양,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
30,005490,POSCO홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
31,316140,우리금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
32,017670,SK텔레콤,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
33,096770,SK이노베이션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
34,015760,한국전력,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
35,011200,HMM,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
36,042700,한미반도체,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
37,138040,메리츠금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
