trailing_per,trailing_eps,forward_per_consensus,forward_eps_consensus,current_pbr,current_bps,close,market_cap,business_overview,business_keywords,roe_estimate,source_url,source_id,quality_flag,as_of,ticker,company,sector,in_kospi200,py_end_per,py_end_eps,roe_2y,roe_1y,roe_current,pbr_band_low,pbr_band_high,update_note,pbr_5y_min,current_pbr_from_history
11.71,22292.0,5.0,48339.0,3.03,86138.61,261000.0,15258787.0,"기업개요 동사는 1969년 설립된 글로벌 전자 기업으로, DX, DS, SDC, Harman 산하 308개 종속기업으로 구성됨. DX 부문은 TV, 가전, 스마트폰, DS는 메모리 반도체와 Foundry 사업, SDC는 OLED 패널, Harman은 전장부품·오디오 사업 운영함. 동사는 AI 기술 확대, 선단 공정 개발, 고부가 솔루션 포트폴리오로 제품 차별화 및 원가 경쟁력 제고하며 질적 성장에 주력하고 있음.",가전·TV;스마트폰;반도체,0.5612,https://finance.naver.com/item/main.naver?code=005930,NAVER_PUBLIC,OK,2026-09-01,005930,삼성전자,,Y,,,,,,0.6907471574013093,0.9798161358768153,Public Naver pull; history-dependent fields require BPS history input.,0.6083218663500607,3.030000135827592
7.55,224313.0,5.0,349342.0,4.57,370459.52,1693000.0,12367235.0,"기업개요 동사는 1949년 설립되어 2012년 에스케이하이닉스로 상호를 변경하였으며, 경기도 이천 본사를 거점으로 운영하는 글로벌 반도체 기업임. DRAM과 NAND Flash 중심의 메모리 반도체가 주력 제품이며, Foundry 사업도 병행하고 있음. 업계 최고 기술력으로 HBM, CXL 메모리 등 차세대 제품 개발에 집중하고 AI 메모리 시장 선도를 위해 고객 협업과 선단 공정 양산을 추진하고 있음.",반도체,0.943,https://finance.naver.com/item/main.naver?code=000660,NAVER_PUBLIC,OK,2026-09-01,000660,SK하이닉스,,Y,,,,,,0.2699350255596077,0.8133142320110995,Public Naver pull; history-dependent fields require BPS history input.,0.20245126916970577,4.569999982724158
4.3,248219.0,3.0,326950.0,2.56,416796.88,1067000.0,1407629.0,"기업개요 동사는 2021년 SK텔레콤으로부터 인적분할로 설립된 지주회사이며, SK하이닉스 등 주요 자회사를 통해 반도체 중심의 포트폴리오와 지배구조를 형성하고 있음. 투자, 모빌리티, 플랫폼, 커머스 4개 부문으로 나뉘며, 11번가, 티맵모빌리티, SK플래닛, 원스토어, FSK L&S 등을 보유하고 있음. 신속하고 전문적인 의사결정 체제 확립과 사업 역량 집중을 통해 기업 경쟁력과 주주가치 증대하고 있음.",반도체;플랫폼·인터넷,0.7844,https://finance.naver.com/item/main.naver?code=402340,NAVER_PUBLIC,OK,2026-09-01,402340,SK스퀘어,,Y,,,,,,0.10251996128185989,0.49179830712744327,Public Naver pull; history-dependent fields require BPS history input.,0.08049484439518836,2.5599999692895974
110.14,12984.0,72.0,19883.0,10.56,135416.67,1430000.0,1068119.0,"기업개요 동사는 1973년 설립된 삼성그룹 계열 전자부품 전문기업으로, 국내외 생산법인 및 판매법인을 통해 글로벌 네트워크를 구축하고 있음. 수동소자 컴포넌트, 반도체패키지기판, 카메라모듈의 3개 사업부문으로 구성되어 스마트폰, PC, AI서버, 자동차 등 다양한 분야에 핵심 전자부품을 공급하고 있음. 초소형/고용량 재료기술 및 공정기술 고도화, AI/서버, 전장용 고부가 제품 확대와 글로벌 고객 다변화를 추진하고 있음.",반도체;스마트폰;자동차,0.1468,https://finance.naver.com/item/main.naver?code=009150,NAVER_PUBLIC,OK,2026-09-01,009150,삼성전기,,Y,,,,,,0.9961845908631485,1.4216861188508036,Public Naver pull; history-dependent fields require BPS history input.,0.7975384419067459,10.559999740061544
13.05,30697.0,11.0,37899.0,0.86,465697.67,400500.0,820054.0,"기업개요 동사는 1967년 설립된 자동차 제조 및 판매 기업으로, 연결대상 종속회사 164개사를 보유하고 있음. 추가로 현대얼터너티브주식회사 등 13개사를 신규 연결하였으며, 현대캐피탈, 현대카드 등 금융부문과 현대로템의 디펜스솔루션, 레일솔루션, 에코플랜트 사업을 영위함. 차량부문에서는 Manufacturing Excellence와 New Product Innovation으로 시장의 불확실성에 대응하며 수익성을 제고하고 있음.",자동차;금융·보험;건설·인프라,0.0814,https://finance.naver.com/item/main.naver?code=005380,NAVER_PUBLIC,OK,2026-09-01,005380,현대차,,Y,,,,,,0.3957932621823081,0.5555106170060933,Public Naver pull; history-dependent fields require BPS history input.,0.3242446972088136,0.8600000081598004
-7193.0,,-223.0,-1643.0,3.84,95572.92,367000.0,858780.0,"기업개요 동사는 2020년 ㈜LG화학에서 분할되어 신설된 2차전지 전문기업으로, 2022년 유가증권시장에 상장하였음. 국내를 비롯해 미국, 폴란드, 중국 등 세계 주요 거점에 생산, 판매, R&D 네트워크를 구축하고 있으며, 연결대상 종속회사 25개사를 보유하고 있음. EV, ESS, IT기기, 전동공구, LEV 등에 적용되는 전지 관련 제품의 연구, 개발, 제조, 판매 사업을 영위하고 있음.",화학·소재;배터리;금융·보험,-0.0172,https://finance.naver.com/item/main.naver?code=373220,NAVER_PUBLIC,OK,2026-09-01,373220,LG에너지솔루션,,Y,,,,,,3.724904502237663,5.064196008660193,Public Naver pull; history-dependent fields require BPS history input.,2.8041415915721735,3.8399998660708494
41.99,36202.0,38.0,40487.0,8.41,180737.22,1520000.0,703622.0,"기업개요 동사는 바이오의약품 위탁생산 및 세포주·공정 개발 서비스를 제공하는 CDMO 사업을 영위하고 있음. 2022년 삼성바이오에피스 지분 전량 취득 후, 2026년 미국 HGS 인수로 총 생산능력을 84만 5천리터로 확대하였음. 동사는 S-CHOice, S-Tensify 등 CDO 서비스 강화하며, mRNA, ADC 등 차세대 바이오의약품으로 사업을 확장하고 있음.",바이오·제약,0.224,https://finance.naver.com/item/main.naver?code=207940,NAVER_PUBLIC,OK,2026-09-01,207940,삼성바이오로직스,,Y,,,,,,6.359686178641012,8.452802361350916,Public Naver pull; history-dependent fields require BPS history input.,5.545382406567945,8.409999888235527
21.56,14356.0,20.0,15812.0,0.68,455147.06,309500.0,619000.0,"기업개요 동사는 1957년 설립된 국내 최대 생명보험사로, 삼성카드, 삼성자산운용, 삼성에스알에이자산운용, 삼성생명금융서비스 등 다수의 종속회사를 보유하고 있음. 2025년 8월에는 시니어리빙 사업 진출을 위해 삼성노블라이프를 신규 설립하였음. 사망, 질병, 장애, 사고 등에 대한 보장성 보험상품과 노후대비를 위한 연금/저축성 보험상품 등 개인의 생애 단계별 니즈에 부합하는 상품과 서비스를 제공하는 것을 주요 사업으로 영위하고 있음.",금융·보험,0.0347,https://finance.naver.com/item/main.naver?code=032830,NAVER_PUBLIC,OK,2026-09-01,032830,삼성생명,,Y,,,,,,0.1456232629515392,0.3231922447219588,Public Naver pull; history-dependent fields require BPS history input.,0.12523424846466108,0.6799999982423264
23.64,16520.0,24.0,16532.0,0.61,640163.93,390500.0,633264.0,"기업개요 동사는 1938년 삼성상회를 모태로 설립되어 2015년 삼성물산과 제일모직 합병을 통해 현재의 사업구조를 갖추었으며, 삼성그룹의 모기업으로서 136개 종속회사를 보유하고 있음. 동사는 건설, 상사, 패션, 리조트, 급식/식자재유통, 바이오 등 6개 사업부문을 영위하고 있음. 건설부문은 초고층빌딩, 플랜트 등에서 업계 최고 수준의 기술력을 보유하고, 상사부문은 전세계 42개국 64개 해외거점을 기반으로 종합 솔루션을 제공하고 있음.",건설·인프라;유통·물류;바이오·제약,0.0258,https://finance.naver.com/item/main.naver?code=028260,NAVER_PUBLIC,OK,2026-09-01,028260,삼성물산,,Y,,,,,,0.17489270287377795,0.2758668392953663,Public Naver pull; history-dependent fields require BPS history input.,0.15636619826424772,0.6100000042176696
10.82,15817.0,9.0,18392.0,1.02,167843.14,171200.0,607225.0,"기업개요 동사는 2008년 금융지주회사로 설립되어 KB국민은행, KB증권, KB손해보험 등 11개 주요 계열사를 보유한 국내 대표 금융그룹임. 은행, 금융투자, 보험, 여신전문 등 전 금융 영역에서 종합금융서비스를 제공하며, 은행부문이 순이자이익과 영업이익의 상당 부분을 차지하는 핵심 사업부문임. 디지털 전환에 대응하여 AI 기술 일상화, 임베디드 금융을 통한 고객 접점 확대, KB스타뱅킹 중심의 플랫폼 경쟁력 강화 등을 추진하고 있음.",금융·보험;플랫폼·인터넷,0.1096,https://finance.naver.com/item/main.naver?code=105560,NAVER_PUBLIC,OK,2026-09-01,105560,KB금융,,Y,,,,,,0.3083831725264434,0.6765841010839049,Public Naver pull; history-dependent fields require BPS history input.,0.2603621452744509,1.019999983317757
